tracemalloc/.tmp:337: size=64 B, count=1, average=64 B
tracemalloc/.tmp:337: size=64 B, count=1, average=64 B
tracemalloc/.tmp:337: size=64 B, count=1, average=64 B
tracemalloc/.tmp:296: size=64 B, count=1, average=64 B
tracemalloc/.tmp:296: size=64 B, count=1, average=64 B
tracemalloc/.tmp:296: size=64 B, count=1, average=64 B
tracemalloc/.tmp:290: size=64 B, count=1, average=64 B
tracemalloc/.tmp:290: size=64 B, count=1, average=64 B
tracemalloc/.tmp:290: size=64 B, count=1, average=64 B
tracemalloc/.tmp:231: size=64 B, count=1, average=64 B
tracemalloc/.tmp:231: size=64 B, count=1, average=64 B
tracemalloc/.tmp:231: size=64 B, count=1, average=64 B
tracemalloc/.tmp:231: size=64 B, count=1, average=64 B
tracemalloc/.tmp:231: size=64 B, count=1, average=64 B
tracemalloc/.tmp:231: size=64 B, count=1, average=64 B
tracemalloc/.tmp:65: size=64 B, count=1, average=64 B
tracemalloc/.tmp:65: size=64 B, count=1, average=64 B
tracemalloc/.tmp:65: size=64 B, count=1, average=64 B
tracemalloc/.tmp:65: size=64 B, count=1, average=64 B
tracemalloc/.tmp:65: size=64 B, count=1, average=64 B
tracemalloc/.tmp:57: size=64 B, count=1, average=64 B
tracemalloc/.tmp:57: size=64 B, count=1, average=64 B
tracemalloc/.tmp:57: size=64 B, count=1, average=64 B
tracemalloc/.tmp:57: size=64 B, count=1, average=64 B
tracemalloc/.tmp:52: size=64 B, count=1, average=64 B
tracemalloc/.tmp:52: size=64 B, count=1, average=64 B
tracemalloc/.tmp:52: size=64 B, count=1, average=64 B
tracemalloc/.tmp:52: size=64 B, count=1, average=64 B
tracemalloc/.tmp:52: size=64 B, count=1, average=64 B
tracemalloc/.tmp:35: size=56 B, count=1, average=56 B
tracemalloc/.tmp:34: size=56 B, count=1, average=56 B
tracemalloc/.tmp:33: size=56 B, count=1, average=56 B
tracemalloc/.tmp:32: size=56 B, count=1, average=56 B
tracemalloc/.tmp:31: size=56 B, count=1, average=56 B
tracemalloc/.tmp:27: size=32 B, count=1, average=32 B
tracemalloc/.tmp:27: size=32 B, count=1, average=32 B
tracemalloc/.tmp:27: size=32 B, count=1, average=32 B
tracemalloc/.tmp:27: size=32 B, count=1, average=32 B
tracemalloc/.tmp:27: size=32 B, count=1, average=32 B
tracemalloc/.tmp:27: size=32 B, count=1, average=32 B
tracemalloc/.tmp:664: size=3800 B, count=3, average=1267 B
tracemalloc/.tmp:43: size=2876 B, count=7, average=411 B
tracemalloc/.tmp:228: size=2156 B, count=8, average=270 B
tracemalloc/.tmp:174: size=1724 B, count=7, average=246 B
tracemalloc/.tmp:24: size=1724 B, count=7, average=246 B
tracemalloc/.tmp:58: size=1600 B, count=25, average=64 B
tracemalloc/.tmp:184: size=1596 B, count=6, average=266 B
tracemalloc/.tmp:58: size=1088 B, count=17, average=64 B
tracemalloc/.tmp:58: size=1024 B, count=16, average=64 B
tracemalloc/.tmp:337: size=904 B, count=2, average=452 B
tracemalloc/.tmp:427: size=608 B, count=1, average=608 B
tracemalloc/.tmp:526: size=568 B, count=1, average=568 B
tracemalloc/.tmp:444: size=560 B, count=1, average=560 B
tracemalloc/.tmp:420: size=560 B, count=1, average=560 B
tracemalloc/.tmp:472: size=544 B, count=1, average=544 B
