tracemalloc/.tmp:98: size=416 B, count=1, average=416 B
tracemalloc/.tmp:79: size=384 B, count=6, average=64 B
tracemalloc/.tmp:575: size=336 B, count=6, average=56 B
tracemalloc/.tmp:574: size=336 B, count=6, average=56 B
tracemalloc/.tmp:499: size=320 B, count=5, average=64 B
tracemalloc/.tmp:499: size=320 B, count=5, average=64 B
tracemalloc/.tmp:336: size=288 B, count=12, average=24 B
tracemalloc/.tmp:98: size=288 B, count=5, average=58 B
tracemalloc/.tmp:378: size=192 B, count=6, average=32 B
tracemalloc/.tmp:63: size=192 B, count=2, average=96 B
tracemalloc/.tmp:56: size=192 B, count=2, average=96 B
tracemalloc/.tmp:52: size=192 B, count=2, average=96 B
tracemalloc/.tmp:48: size=192 B, count=2, average=96 B
tracemalloc/.tmp:630: size=136 B, count=1, average=136 B
tracemalloc/.tmp:610: size=136 B, count=1, average=136 B
tracemalloc/.tmp:565: size=136 B, count=1, average=136 B
tracemalloc/.tmp:517: size=136 B, count=1, average=136 B
tracemalloc/.tmp:510: size=136 B, count=1, average=136 B
tracemalloc/.tmp:507: size=136 B, count=1, average=136 B
tracemalloc/.tmp:504: size=136 B, count=1, average=136 B
tracemalloc/.tmp:501: size=136 B, count=1, average=136 B
tracemalloc/.tmp:497: size=136 B, count=1, average=136 B
tracemalloc/.tmp:483: size=136 B, count=1, average=136 B
tracemalloc/.tmp:459: size=136 B, count=1, average=136 B
tracemalloc/.tmp:443: size=136 B, count=1, average=136 B
tracemalloc/.tmp:434: size=136 B, count=1, average=136 B
tracemalloc/.tmp:419: size=136 B, count=1, average=136 B
tracemalloc/.tmp:415: size=136 B, count=1, average=136 B
tracemalloc/.tmp:397: size=136 B, count=1, average=136 B
tracemalloc/.tmp:390: size=136 B, count=1, average=136 B
tracemalloc/.tmp:386: size=136 B, count=1, average=136 B
tracemalloc/.tmp:377: size=136 B, count=1, average=136 B
tracemalloc/.tmp:374: size=136 B, count=1, average=136 B
tracemalloc/.tmp:367: size=136 B, count=1, average=136 B
tracemalloc/.tmp:357: size=136 B, count=1, average=136 B
tracemalloc/.tmp:351: size=136 B, count=1, average=136 B
tracemalloc/.tmp:338: size=136 B, count=1, average=136 B
tracemalloc/.tmp:331: size=136 B, count=1, average=136 B
tracemalloc/.tmp:326: size=136 B, count=1, average=136 B
tracemalloc/.tmp:317: size=136 B, count=1, average=136 B
tracemalloc/.tmp:312: size=136 B, count=1, average=136 B
tracemalloc/.tmp:306: size=136 B, count=1, average=136 B
tracemalloc/.tmp:294: size=136 B, count=1, average=136 B
tracemalloc/.tmp:290: size=136 B, count=1, average=136 B
tracemalloc/.tmp:287: size=136 B, count=1, average=136 B
tracemalloc/.tmp:277: size=136 B, count=1, average=136 B
tracemalloc/.tmp:271: size=136 B, count=1, average=136 B
tracemalloc/.tmp:265: size=136 B, count=1, average=136 B
tracemalloc/.tmp:262: size=136 B, count=1, average=136 B
tracemalloc/.tmp:259: size=136 B, count=1, average=136 B
tracemalloc/.tmp:254: size=136 B, count=1, average=136 B
tracemalloc/.tmp:230: size=136 B, count=1, average=136 B
tracemalloc/.tmp:223: size=136 B, count=1, average=136 B
tracemalloc/.tmp:209: size=136 B, count=1, average=136 B
tracemalloc/.tmp:206: size=136 B, count=1, average=136 B
tracemalloc/.tmp:203: size=136 B, count=1, average=136 B
tracemalloc/.tmp:196: size=136 B, count=1, average=136 B
tracemalloc/.tmp:193: size=136 B, count=1, average=136 B
tracemalloc/.tmp:185: size=136 B, count=1, average=136 B
tracemalloc/.tmp:182: size=136 B, count=1, average=136 B
tracemalloc/.tmp:179: size=136 B, count=1, average=136 B
tracemalloc/.tmp:172: size=136 B, count=1, average=136 B
tracemalloc/.tmp:167: size=136 B, count=1, average=136 B
tracemalloc/.tmp:163: size=136 B, count=1, average=136 B
tracemalloc/.tmp:160: size=136 B, count=1, average=136 B
tracemalloc/.tmp:153: size=136 B, count=1, average=136 B
tracemalloc/.tmp:149: size=136 B, count=1, average=136 B
tracemalloc/.tmp:143: size=136 B, count=1, average=136 B
tracemalloc/.tmp:137: size=136 B, count=1, average=136 B
tracemalloc/.tmp:130: size=136 B, count=1, average=136 B
tracemalloc/.tmp:105: size=136 B, count=1, average=136 B
tracemalloc/.tmp:100: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:70: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:573: size=56 B, count=1, average=56 B
tracemalloc/.tmp:552: size=56 B, count=1, average=56 B
tracemalloc/.tmp:551: size=56 B, count=1, average=56 B
tracemalloc/.tmp:91: size=56 B, count=1, average=56 B
tracemalloc/.tmp:90: size=56 B, count=1, average=56 B
tracemalloc/.tmp:89: size=56 B, count=1, average=56 B
tracemalloc/.tmp:88: size=56 B, count=1, average=56 B
tracemalloc/.tmp:87: size=56 B, count=1, average=56 B
tracemalloc/.tmp:86: size=56 B, count=1, average=56 B
tracemalloc/.tmp:85: size=56 B, count=1, average=56 B
tracemalloc/.tmp:388: size=32 B, count=1, average=32 B
tracemalloc/.tmp:375: size=32 B, count=1, average=32 B
tracemalloc/.tmp:98: size=32 B, count=1, average=32 B
tracemalloc/.tmp:45: size=32 B, count=1, average=32 B
tracemalloc/.tmp:45: size=32 B, count=1, average=32 B
tracemalloc/.tmp:45: size=32 B, count=1, average=32 B
tracemalloc/.tmp:45: size=32 B, count=1, average=32 B
tracemalloc/.tmp:45: size=32 B, count=1, average=32 B
tracemalloc/.tmp:45: size=32 B, count=1, average=32 B
tracemalloc/.tmp:45: size=32 B, count=1, average=32 B
tracemalloc/.tmp:336: size=24 B, count=1, average=24 B
tracemalloc/.tmp:359: size=55.8 KiB, count=592, average=96 B
tracemalloc/.tmp:307: size=55.8 KiB, count=592, average=96 B
tracemalloc/.tmp:359: size=53.4 KiB, count=555, average=99 B
tracemalloc/.tmp:582: size=32.2 KiB, count=600, average=55 B
tracemalloc/.tmp:581: size=32.2 KiB, count=600, average=55 B
